rho_A,sigma,seed,R2_ridge,R2_mlp,R2_gap,Rhat_ridge,Rhat_mlp,Rhat_gap,drop_S_ridge,drop_E_ridge,drop_S_mlp,drop_E_mlp
0.9,0.05,1.0,0.8206520676612854,0.4272893369197845,-0.3933627307415008,0.2688792827774044,0.1448880993622429,-0.1239911834151615,0.4873607655366261,1.325202703475952,0.1531526843706766,0.9038884739081064
0.9,0.05,2.0,0.8206132054328918,0.4308044016361236,-0.3898088037967682,0.2684242525443155,0.1447430325728458,-0.1236812199714697,0.4866771697998047,1.3264122406641643,0.1528402169545491,0.9031015733877816
0.9,0.1,0.0,0.7913514375686646,0.4121394157409668,-0.3792120218276977,0.272431213579516,0.1465168615182835,-0.1259143520612324,0.4854238231976827,1.2963977853457134,0.1518623729546865,0.8846215605735779
0.9,0.1,1.0,0.7917584776878357,0.4073280394077301,-0.3844304382801056,0.2725116253230525,0.1470511876676863,-0.1254604376553661,0.4858372608820597,1.2969757119814556,0.1523621181646982,0.8837540845076243
0.9,0.1,2.0,0.791748583316803,0.4090262353420257,-0.3827223479747772,0.2720107906221025,0.1465517975153999,-0.1254589931067025,0.4849708179632823,1.297939399878184,0.1515419979890187,0.882508764664332
0.9,0.2,0.0,0.6855361461639404,0.3441670835018158,-0.3413690626621246,0.286417913791595,0.1557525538078635,-0.1306653599837315,0.4787329186995824,1.1927160223325093,0.1490221718947092,0.8077658116817474
0.9,0.2,1.0,0.6859009861946106,0.3406170606613159,-0.3452839255332947,0.2867067489766519,0.1558623270227251,-0.1308444219539267,0.4797042409578959,1.1934487024943037,0.1490243971347808,0.8071040014425913
0.9,0.2,2.0,0.6861739158630371,0.3335857689380646,-0.3525881469249725,0.2860719087009132,0.1556783556449444,-0.1303935530559687,0.4786116480827331,1.1944350004196167,0.1480557819207509,0.8029806117216746
0.9,0.35,0.0,0.4568356275558471,0.1976009607315063,-0.2592346668243408,0.3222990228914113,0.1821354116063501,-0.1401636112850612,0.4619828487435977,0.971415380636851,0.1420219168066978,0.6377381285031637
0.9,0.35,1.0,0.4568439424037933,0.1944578140974044,-0.2623861283063888,0.3227885466197289,0.1833498801391372,-0.1394386664805916,0.4631940140388906,0.9717825949192048,0.1426841417948404,0.6355227579673132
0.9,0.35,2.0,0.4580420255661011,0.1957042813301086,-0.2623377442359924,0.3221773789503894,0.1822720415473413,-0.139905337403048,0.4627189327341814,0.9735052188237509,0.1416448516150315,0.6354619959990183
