rho_A,sigma,alpha,beta,pool_dim,seed,R2_ridge,R2_mlp,R2_gap,Rhat_ridge,Rhat_mlp,Rhat_gap,drop_S_ridge,drop_E_ridge,drop_S_mlp,drop_E_mlp
0.5,0.1,0.0,0.6,1024,0,0.966053307056427,0.526934027671814,-0.43911927938461304,0.08941614372965649,0.015017748606949512,-0.07439839512270698,0.17429620027542114,1.774973730246226,0.015809277693430584,1.0368969639142354
0.5,0.1,0.0,0.6,1024,1,0.9660304188728333,0.5268123149871826,-0.43921810388565063,0.09049553488061932,0.015165525678088118,-0.0753300092025312,0.17665845155715942,1.775464951992035,0.015980343023935955,1.0377479195594788
0.5,0.1,0.0,0.6,1024,2,0.9661166071891785,0.5271278619766235,-0.43898874521255493,0.09033248970680272,0.01536487784388396,-0.07496761186291875,0.17622315883636475,1.7746049364407857,0.016195436318715412,1.0378602147102356
0.5,0.1,0.0,0.85,64,0,0.7356641292572021,0.46883469820022583,-0.2668294310569763,0.06939659866738417,0.0238928225798064,-0.04550377608757777,0.09981195131937663,1.3384710947672527,0.020858357350031536,0.8521384298801422
0.5,0.1,0.0,0.85,64,1,0.7291203737258911,0.46390825510025024,-0.26521211862564087,0.06971340038942472,0.02496779441883131,-0.04474560597059341,0.09969458977381389,1.3303689161936443,0.021793256203333538,0.8510614236195883
0.5,0.1,0.0,0.85,64,2,0.7238107919692993,0.4682792127132416,-0.25553157925605774,0.06999525780864552,0.025576357484219474,-0.04441890032442604,0.09859593709309895,1.3100128769874573,0.022407939036687214,0.8537113070487976
0.5,0.1,0.0,0.85,128,0,0.7850876450538635,0.5046738982200623,-0.28041374683380127,0.05909186056744255,0.02609904676132644,-0.03299281380611611,0.08984088897705078,1.430518905321757,0.024483988682428997,0.9136341313521067
0.5,0.1,0.0,0.85,128,1,0.7807621955871582,0.5007249712944031,-0.2800372242927551,0.05881070424161034,0.02499985833757162,-0.033810845904038725,0.08927957216898601,1.4288041392962139,0.02322884400685628,0.9059301813443502
0.5,0.1,0.0,0.85,128,2,0.7827211618423462,0.49722611904144287,-0.2854950428009033,0.05929131569151951,0.02510714554840448,-0.034184170143115034,0.0896645188331604,1.4226061701774597,0.023006975650787354,0.8933447301387787
0.5,0.1,0.0,0.85,512,0,0.9843021035194397,0.6485595107078552,-0.3357425928115845,0.02445166952978563,0.022878733674751104,-0.0015729358550345268,0.04526666800181071,1.8060043851534526,0.02721792459487915,1.1624425252278645
0.5,0.1,0.0,0.85,512,1,0.9844253659248352,0.6460253596305847,-0.3384000062942505,0.02446030134687411,0.02276305787315625,-0.0016972434737178611,0.04538180430730184,1.8099430203437805,0.026976327101389568,1.158116082350413
0.5,0.1,0.0,0.85,512,2,0.9843651056289673,0.6469026207923889,-0.33746248483657837,0.024562615372365888,0.023093422945356844,-0.0014691924270090438,0.045545876026153564,1.8087304433186848,0.027405659357706707,1.1593244075775146
0.5,0.1,0.0,0.85,1024,0,0.9704387784004211,0.5897354483604431,-0.380703330039978,0.11081196298284796,0.024817390785786042,-0.08599457219706191,0.21823018789291382,1.751143713792165,0.02718619505564372,1.0682631731033325
0.5,0.1,0.0,0.85,1024,1,0.9705742001533508,0.5884036421775818,-0.38217055797576904,0.11154382407854857,0.024438133314522974,-0.08710569076402559,0.22011552254358926,1.753239115079244,0.026717642943064373,1.0665591061115265
0.5,0.1,0.0,0.85,1024,2,0.9705331921577454,0.587629497051239,-0.38290369510650635,0.11164384179818496,0.024512826156707666,-0.0871310156414773,0.22021027406056723,1.7522252003351848,0.026803831259409588,1.066657652457555
0.7,0.1,0.0,0.0,64,0,0.36250409483909607,0.26912495493888855,-0.09337913990020752,0.0166572334551982,0.009626742914395523,-0.0070304905408026756,0.012342353661855062,0.7286182443300883,0.00537725289662679,0.5531972249348959
0.7,0.1,0.0,0.0,64,1,0.3623179495334625,0.2683674395084381,-0.09395051002502441,0.015173132438515341,0.009280056797219337,-0.0058930756412960035,0.011295507351557413,0.7331458528836569,0.005251139402389526,0.5606009364128113
0.7,0.1,0.0,0.0,64,2,0.35974523425102234,0.2690238058567047,-0.09072142839431763,0.014014393103065665,0.009945246458332405,-0.004069146644733261,0.010353952646255493,0.7284545401732127,0.005643884340922038,0.5618517895539602
0.7,0.1,0.0,0.0,128,0,0.5031906366348267,0.34985899925231934,-0.15333163738250732,0.018806648017404424,0.010550148206277978,-0.008256499811126446,0.01945798595746358,1.0151754021644592,0.007891396681467691,0.7400977810223898
0.7,0.1,0.0,0.0,128,1,0.5048657059669495,0.3490777909755707,-0.15578791499137878,0.019100810764782535,0.011463613170953032,-0.007637197593829503,0.01983235279719035,1.0184666514396667,0.008433183034261068,0.7272147238254547
0.7,0.1,0.0,0.0,128,2,0.49884331226348877,0.3481816053390503,-0.15066170692443848,0.018696011134771113,0.00927472622504,-0.009421284909731114,0.0192105770111084,1.008312185605367,0.0068314770857493086,0.7297376592954
0.7,0.1,0.0,0.0,512,0,0.9753686189651489,0.5609558820724487,-0.4144127368927002,0.02897655813629951,0.021321194674972985,-0.007655363461326524,0.05591553449630737,1.8737661838531494,0.02420753240585327,1.1111665765444438
0.7,0.1,0.0,0.0,512,1,0.9752809405326843,0.5581374168395996,-0.4171435236930847,0.029441584518130014,0.021436400732197956,-0.008005183785932058,0.05684143304824829,1.873809854189555,0.024144033590952556,1.1021660168965657
0.7,0.1,0.0,0.0,512,2,0.9753716588020325,0.5594468116760254,-0.4159248471260071,0.02950870120963041,0.021801786105480545,-0.007706915104149864,0.05693715810775757,1.8725668787956238,0.02465281883875529,1.1061177849769592
0.7,0.1,0.0,0.0,1024,0,0.9587880373001099,0.4702657461166382,-0.4885222911834717,0.13751964960537882,0.02366086871100387,-0.11385878089437496,0.26566992203394574,1.6661988894144695,0.023317237695058186,0.9621595839659373
0.7,0.1,0.0,0.0,1024,1,0.9587292075157166,0.469105064868927,-0.48962414264678955,0.13964133802066492,0.023829590732020515,-0.1158117472886444,0.26987016201019287,1.6627249121665955,0.023409088452657063,0.958944688240687
